City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,al bayda',32.7627,21.7551,282.39,90,77,3.45,LY,1710700345
250,kingston,17.997,-76.7936,303.8,68,20,10.8,JM,1710700203
251,ales,44.1333,4.0833,289.65,80,100,1.03,FR,1710700347
252,nemuro,43.3236,145.575,273.09,98,100,4.72,JP,1710700348
253,atafu village,-8.5421,-172.5159,302.13,76,22,5.41,TK,1710700349
254,santhia,45.3663,8.1726,288.83,80,75,0.1,IT,1710700350
255,praia da vitoria,38.7333,-27.0667,291.29,68,40,8.16,PT,1710700351
256,bardai,11.65,7.2333,302.99,14,6,3.98,NG,1710700352
257,necochea,-38.5473,-58.7368,299.34,26,1,5.9,AR,1710700097
258,ferkessedougou,9.6,-5.2,308.36,19,6,1.64,CI,1710700354
259,wakkanai,45.4094,141.6739,271.53,93,100,8.49,JP,1710700355
260,kamloops,50.6665,-120.3192,284.02,62,0,2.06,CA,1710700356
261,mercedes,-34.6515,-59.4307,300.73,57,1,4.22,AR,1710700174
262,ketchikan,55.3422,-131.6461,281.67,93,100,6.17,US,1710700358
263,selfoss,63.9331,-20.9971,277.62,95,100,3.92,IS,1710700359
264,tshabong,-26.05,22.45,304.11,15,5,4.85,BW,1710700360
265,margaret river,-33.95,115.0667,291.62,81,100,4.63,AU,1710700240
266,klyuchi,52.2667,79.1667,270.6,90,100,3.31,RU,1710700361
267,kitimat,54.0524,-128.6534,282.54,79,0,2.24,CA,1710700266
268,virginia,37.5481,-77.4467,295.14,37,75,7.72,US,1710700363
269,cedeira,43.6797,-8.0209,288.69,75,100,3.67,ES,1710700364
270,howrah,22.5892,88.3103,299.15,73,40,1.54,IN,1710700365
271,cidade velha,14.9167,-23.6167,299.41,57,20,11.83,CV,1710700366
272,akureyri,65.6835,-18.0878,275.11,80,75,4.12,IS,1710700366
273,enewetak,11.3474,162.3373,299.39,79,100,3.26,MH,1710700367
274,muhos,64.808,25.9931,263.03,95,17,0.58,FI,1710700157
275,porto empedocle,37.2934,13.5264,286.15,80,82,3.93,IT,1710700369
276,gebeit,21.0667,36.3167,303.49,24,100,4.3,SD,1710700371
277,holualoa,19.6228,-155.9522,296.36,77,0,0.0,US,1710700216
278,lamu,-2.2717,40.902,302.12,76,82,5.8,KE,1710700372
279,chonchi,-42.6128,-73.8092,286.71,60,65,1.6,CL,1710700303
280,buka,40.8108,69.1986,285.03,38,62,0.55,UZ,1710700374
281,zhangatas,43.5667,69.75,276.63,47,100,1.57,KZ,1710700375
282,suvorovskaya,44.1942,42.6539,282.46,82,100,2.61,RU,1710700376
283,geraldton,-28.7667,114.6,294.38,78,75,4.63,AU,1710700199
284,tome,-36.6167,-72.95,292.49,53,95,5.92,CL,1710700377
285,suva,-18.1416,178.4415,296.86,100,40,1.54,FJ,1710700378
286,iskateley,67.6803,53.1512,264.83,92,93,4.47,RU,1710700379
287,belley,45.8333,5.6667,287.39,75,100,1.31,FR,1710700380
288,neiafu,-18.65,-173.9833,299.53,94,100,5.14,TO,1710700381
289,laguna,38.421,-121.4238,293.2,62,0,0.89,US,1710699966
290,polyarnyy,69.1989,33.4478,264.95,83,100,8.12,RU,1710700383
291,montevideo,-34.8335,-56.1674,299.16,38,0,6.69,UY,1710699598
292,copiapo,-27.3667,-70.3333,292.98,33,7,3.8,CL,1710700152
293,nouadhibou,20.931,-17.0347,295.14,73,98,8.75,MR,1710700348
294,tidjikja,18.5564,-11.4271,303.6,7,0,5.31,MR,1710700386
295,okhotsk,59.3833,143.3,267.76,84,100,4.27,RU,1710700387
296,ringkobing,56.0901,8.244,276.49,67,100,7.62,DK,1710700388
297,rongelap,11.1635,166.8941,299.71,77,100,3.23,MH,1710700389
298,tahe,52.3333,124.7333,254.99,95,9,1.72,CN,1710700389
299,ballina,-28.8667,153.5667,293.58,87,99,2.65,AU,1710700390
300,qadirpur ran,30.2924,71.6712,294.09,26,5,1.89,PK,1710700391
301,vypasne,45.8756,34.1773,281.09,81,99,1.99,UA,1710700392
302,dunedin,-45.8742,170.5036,283.04,80,100,3.58,NZ,1710700279
303,la'ie,21.6477,-157.9253,295.99,67,90,3.58,US,1710700394
304,vorkuta,67.5,64.0,258.79,92,100,6.2,RU,1710700395
305,prince rupert,54.3161,-130.3201,282.2,87,100,5.14,CA,1710700396
306,alofi,-19.0595,-169.9187,300.09,94,20,2.06,NU,1710700358
307,colesberg,-30.72,25.0972,292.25,44,88,6.64,ZA,1710700397
308,touros,-5.1989,-35.4608,302.92,71,100,5.44,BR,1710700384
309,riohacha,11.5444,-72.9072,304.21,70,20,4.63,CO,1710700399
310,pekanbaru,0.5333,101.45,299.33,100,20,0.0,ID,1710700400
311,yass,-34.8333,148.9167,289.16,93,69,3.69,AU,1710700401
312,sterling,39.0062,-77.4286,293.31,39,40,6.17,US,1710700401
313,berdigestyakh,62.0989,126.6992,242.82,100,84,0.97,RU,1710700402
314,midvagur,62.0511,-7.1939,281.61,93,75,6.17,FO,1710700403
315,ghat,24.9647,10.1728,293.49,18,0,4.94,LY,1710700405
316,kristinestad,62.2743,21.376,265.98,93,22,2.9,FI,1710700406
317,sanctuary point,-35.1114,150.629,293.33,95,80,0.88,AU,1710700407
318,grand falls-windsor,48.9332,-55.6649,274.77,92,100,1.96,CA,1710700407
319,forres,57.6113,-3.6108,287.09,72,100,3.09,GB,1710700408
